Agency	General Type	Granular Type	Latitude	Longitude	County	"June 30, 2016 Accrued Liability (AL)"	"June 30, 2016 Market Value of Assets (MVA)"	"June 30, 2016 Unfunded Accrued Liability (UAL)"	2017-18 Estimated Total Employer Contribution	2018-19 Estimated Total Employer Contribution	2019-20 Estimated Total Employer Contribution	2020-21 Estimated Total Employer Contribution	2021-22 Estimated Total Employer Contribution	2022-23 Estimated Total Employer Contribution	2023-24 Estimated Total Employer Contribution	2024-25 Estimated Total Employer Contribution
CITY OF YUBA CITY	CITY		39.1404477	-121.6169108	SUTTER COUNTY	"24,52,05,988"	"17,18,71,161"	"7,33,34,827"	"70,29,987"	"78,67,992"	"90,65,309"	"1,02,17,548"	"1,12,36,702"	"1,21,40,824"	"1,24,63,824"	"1,30,49,515"
IRVINE RANCH WATER DISTRICT	SPECIAL DISTRICT/AUTHORITY	WATER DISTRICT	33.6679794	-117.7668773	0	"24,44,77,950"	"17,93,60,877"	"6,51,17,073"	"61,49,303"	"71,40,333"	"81,95,502"	"93,15,562"	"1,02,90,189"	"1,11,79,595"	"1,18,21,863"	"1,23,86,079"
CITY OF GILROY	CITY		37.0057816	-121.5682751	SANTA CLARA COUNTY	"24,39,65,108"	"16,46,30,689"	"7,93,34,419"	"79,69,554"	"88,49,038"	"1,00,39,540"	"1,11,86,871"	"1,21,51,067"	"1,30,33,439"	"1,37,23,112"	"1,43,38,216"
CITY OF TURLOCK	CITY		37.4946568	-120.8465941	STANISLAUS COUNTY	"24,37,82,499"	"16,79,47,379"	"7,58,35,120"	"72,66,887"	"83,81,183"	"95,82,461"	"1,07,93,242"	"1,18,48,398"	"1,27,85,334"	"1,34,76,867"	"1,40,92,217"
CITY OF LAGUNA BEACH	CITY		33.5427189	-117.7853568	ORANGE COUNTY	"23,99,15,075"	"17,32,91,693"	"6,66,23,382"	"63,54,813"	"73,51,904"	"84,37,725"	"95,34,723"	"1,04,70,748"	"1,13,27,797"	"1,19,60,683"	"1,25,20,924"
ALAMEDA COUNTY WATER DISTRICT	SPECIAL DISTRICT/AUTHORITY	WATER DISTRICT	37.5054595	-121.9602709	ALAMEDA COUNTY	"23,92,81,584"	"15,47,50,255"	"8,45,31,329"	"78,85,613"	"88,63,281"	"1,00,22,520"	"1,11,12,351"	"1,20,64,691"	"1,29,53,282"	"1,28,63,220"	"1,34,59,607"
MARIN MUNICIPAL WATER DISTRICT	SPECIAL DISTRICT/AUTHORITY	WATER DISTRICT	37.9372084	-122.5176008	0	"23,39,26,677"	"14,44,83,241"	"8,94,43,436"	"69,01,233"	"78,61,418"	"90,28,112"	"1,01,03,085"	"1,10,42,947"	"1,18,83,386"	"1,25,00,477"	"1,30,53,301"
CITY OF TUSTIN	CITY		33.7420005	-117.8236391	ORANGE COUNTY	"23,34,38,225"	"17,22,70,944"	"6,11,67,281"	"56,49,024"	"67,14,482"	"78,43,000"	"89,57,574"	"99,18,520"	"1,07,72,417"	"1,13,92,470"	"1,19,36,991"
COMMUNITY DEVELOPMENT COMMISSION OF THE COUNTY OF LOS ANGELES	SPECIAL DISTRICT/AUTHORITY		34.0912203	-118.1342625	0	"23,28,67,304"	"19,54,21,833"	"3,74,45,471"	"37,48,521"	"43,46,260"	"51,14,423"	"62,81,110"	"72,95,464"	"81,79,008"	"87,50,838"	"92,38,053"
"CRA/LA, A DESIGNATED LOCAL AUTHORITY"	SPECIAL DISTRICT/AUTHORITY		34.0487699	-118.2513371	0	"23,16,26,517"	"14,79,58,768"	"8,36,67,749"	"44,27,479"	"49,61,833"	"58,36,602"	"64,97,107"	"73,16,750"	"80,39,653"	"84,11,822"	"88,52,267"
COUNTY OF INYO	COUNTY		36.3091865	-117.5495846	0	"23,00,48,317"	"15,90,92,889"	"7,09,55,428"	"61,04,848"	"71,33,681"	"82,83,257"	"93,50,278"	"1,02,96,198"	"1,11,16,377"	"1,17,18,512"	"1,22,55,404"
ESTERO MUNICIPAL IMPROVEMENT DISTRICT	SPECIAL DISTRICT/AUTHORITY		37.5600812	-122.2693033	0	"22,73,44,979"	"15,19,32,530"	"7,54,12,449"	"66,47,192"	"76,18,353"	"87,37,216"	"97,86,854"	"1,07,30,898"	"1,15,62,765"	"1,21,85,945"	"1,27,41,832"
SAN DIEGO COUNTY WATER AUTHORITY	SPECIAL DISTRICT/AUTHORITY		0	0	SAN DIEGO COUNTY	"22,70,42,391"	"14,97,17,084"	"7,73,25,307"	"72,22,969"	"68,52,107"	"78,63,913"	"88,98,574"	"98,16,391"	"1,06,33,413"	"1,12,46,735"	"1,17,86,457"
COUNTY OF CALAVERAS	COUNTY		38.1960477	-120.6805037	0	"22,60,26,252"	"15,91,31,430"	"6,68,94,822"	"63,14,665"	"72,15,479"	"83,15,705"	"93,62,057"	"1,02,92,182"	"1,10,96,799"	"1,16,94,923"	"1,22,28,071"
CITY OF VISTA	CITY		33.2000368	-117.2425355	SAN DIEGO COUNTY	"22,53,02,941"	"16,15,50,212"	"6,37,52,729"	"64,08,242"	"73,31,310"	"84,58,049"	"95,86,378"	"1,05,28,805"	"1,13,62,179"	"1,19,83,104"	"1,15,78,687"
CITY OF BURLINGAME	CITY		37.5778696	-122.34809	SAN MATEO COUNTY	"22,11,51,713"	"15,71,89,303"	"6,39,62,410"	"57,34,898"	"66,93,416"	"77,33,943"	"86,88,829"	"95,54,869"	"1,03,48,434"	"1,09,24,215"	"1,14,35,105"
CITY OF BENICIA	CITY		38.049365	-122.1585777	SOLANO COUNTY	"21,85,48,341"	"15,60,16,226"	"6,25,32,115"	"55,07,217"	"62,67,050"	"72,65,338"	"81,90,662"	"90,44,428"	"98,11,438"	"1,03,72,674"	"1,08,68,121"
COUNTY OF AMADOR	COUNTY		38.3488921	-120.7740931	0	"21,52,99,227"	"14,70,09,221"	"6,82,90,006"	"67,51,896"	"76,33,429"	"87,20,295"	"97,53,189"	"1,06,40,196"	"1,14,35,795"	"1,20,26,970"	"1,19,92,528"
CITY OF SOUTH LAKE TAHOE	CITY		38.939926	-119.9771868	EL DORADO COUNTY	"21,36,93,061"	"14,48,00,254"	"6,88,92,807"	"54,66,546"	"63,61,504"	"73,53,278"	"82,44,037"	"91,01,036"	"98,43,107"	"1,03,91,624"	"1,08,75,364"
CITY OF CERRITOS	CITY		33.8583483	-118.0647871	LOS ANGELES COUNTY	"21,21,15,748"	"14,65,54,945"	"6,55,60,803"	"53,66,688"	"58,67,354"	"67,36,440"	"75,69,736"	"83,49,028"	"90,52,309"	"95,91,638"	"99,77,077"
COUNTY OF SAN BENITO	COUNTY		36.5760883	-120.9876321	0	"20,58,54,228"	"14,49,85,438"	"6,08,68,790"	"64,16,346"	"73,33,005"	"82,81,877"	"83,93,230"	"92,18,392"	"98,85,501"	"1,04,35,356"	"1,09,23,657"
CITY OF MENLO PARK	CITY		37.4529598	-122.1817252	SAN MATEO COUNTY	"20,40,26,661"	"14,76,79,447"	"5,63,47,214"	"57,55,731"	"65,82,593"	"76,01,527"	"85,94,186"	"94,50,896"	"1,02,00,852"	"1,07,60,351"	"1,12,57,895"
CITY OF MONTCLAIR	CITY		34.0775104	-117.6897776	SAN BERNARDINO COUNTY	"20,33,28,008"	"13,86,00,210"	"6,47,27,798"	"50,74,667"	"58,50,121"	"67,95,587"	"76,09,368"	"83,99,060"	"90,97,970"	"96,06,389"	"1,00,58,574"
CITY OF VICTORVILLE	CITY		34.5362184	-117.2927641	SAN BERNARDINO COUNTY	"20,13,35,930"	"14,55,14,010"	"5,58,21,920"	"49,48,478"	"58,03,035"	"65,65,584"	"73,52,176"	"80,89,121"	"87,52,495"	"92,48,370"	"96,72,821"
COSUMNES COMMUNITY SERVICES DISTRICT	SPECIAL DISTRICT/AUTHORITY		38.4086499	-121.374743	0	"20,10,26,908"	"14,00,74,867"	"6,09,52,041"	"65,75,939"	"73,78,498"	"83,18,946"	"94,83,398"	"1,04,11,170"	"1,12,44,165"	"1,18,79,510"	"1,24,41,335"
CITY OF PACIFICA	CITY		37.6138253	-122.4869194	SAN MATEO COUNTY	"19,84,03,534"	"15,04,69,120"	"4,79,34,414"	"41,26,888"	"48,60,788"	"57,25,692"	"65,51,689"	"73,23,305"	"80,00,521"	"84,79,410"	"88,99,345"
CITY OF TULARE	CITY		36.2077288	-119.3473379	TULARE COUNTY	"19,83,05,853"	"13,91,01,449"	"5,92,04,404"	"60,91,389"	"69,31,779"	"79,02,387"	"88,79,725"	"97,09,886"	"1,04,36,859"	"1,09,93,948"	"1,14,90,857"
MENLO PARK FIRE PROTECTION DISTRICT	SPECIAL DISTRICT/AUTHORITY	FIRE PROTECTTION DISTRICT	37.4563454	-122.1667858	0	"19,79,49,562"	"15,06,95,637"	"4,72,53,925"	"43,28,621"	"49,52,762"	"59,47,403"	"68,88,548"	"76,98,062"	"83,97,743"	"88,96,889"	"93,34,302"
CITY OF SAN GABRIEL	CITY		34.0961111	-118.1058333	LOS ANGELES COUNTY	"19,66,75,091"	"13,18,90,303"	"6,47,84,788"	"63,26,064"	"71,10,041"	"80,61,392"	"89,45,652"	"97,71,520"	"1,00,58,713"	"1,06,03,714"	"1,10,89,845"
CITY OF RANCHO CUCAMONGA	CITY		34.1063989	-117.5931084	SAN BERNARDINO COUNTY	"19,56,94,148"	"14,93,36,287"	"4,63,57,861"	"47,24,198"	"54,38,178"	"62,97,506"	"71,88,825"	"79,77,700"	"86,95,451"	"92,14,164"	"96,66,929"
COUNTY OF GLENN	COUNTY		39.6437813	-122.4467238	0	"19,40,97,745"	"12,08,44,147"	"7,32,53,598"	"56,91,872"	"65,41,523"	"75,19,399"	"84,09,766"	"92,21,506"	"99,37,417"	"1,04,72,001"	"1,09,49,770"
CITY OF CORONADO	CITY		32.6858853	-117.1830891	SAN DIEGO COUNTY	"19,35,57,438"	"14,69,37,297"	"4,66,20,141"	"51,02,665"	"56,39,711"	"64,96,715"	"74,37,335"	"82,24,224"	"89,22,212"	"94,32,281"	"98,81,330"
CITY OF COVINA	CITY		34.0900091	-117.8903397	LOS ANGELES COUNTY	"19,32,91,191"	"13,73,02,970"	"5,59,88,221"	"44,85,865"	"49,06,374"	"57,77,700"	"72,92,491"	"80,28,616"	"86,72,998"	"91,68,004"	"96,04,204"
CITY OF INDIO	CITY		33.7205771	-116.2155619	RIVERSIDE COUNTY	"19,18,82,362"	"12,80,20,331"	"6,38,62,031"	"64,79,029"	"71,29,930"	"80,50,696"	"89,50,530"	"97,46,829"	"1,04,71,221"	"1,10,29,199"	"1,12,48,058"
COUNTY OF COLUSA	COUNTY		39.1040645	-122.2653887	0	"19,16,20,699"	"12,12,99,568"	"7,03,21,131"	"60,35,153"	"69,27,051"	"79,85,610"	"90,00,447"	"98,12,105"	"1,05,56,880"	"1,11,04,363"	"1,15,94,852"
CITY OF GLENDORA	CITY		34.1361187	-117.865339	LOS ANGELES COUNTY	"18,96,80,330"	"13,49,37,739"	"5,47,42,591"	"47,88,900"	"54,60,097"	"63,57,307"	"71,71,490"	"79,06,562"	"85,60,109"	"90,43,804"	"94,70,925"
CITY OF ROHNERT PARK	CITY		38.3396367	-122.7010984	SONOMA COUNTY	"18,80,05,539"	"12,45,08,930"	"6,34,96,609"	"62,00,716"	"69,00,160"	"77,66,088"	"85,90,921"	"93,57,982"	"1,00,41,746"	"1,05,67,783"	"1,10,39,669"
CITY OF SAN MARCOS	CITY		33.1433723	-117.1661449	SAN DIEGO COUNTY	"18,79,32,358"	"12,49,65,041"	"6,29,67,317"	"69,53,775"	"72,92,600"	"82,02,379"	"91,29,597"	"99,23,466"	"1,06,43,894"	"1,12,00,398"	"1,16,98,388"
CITY OF MORENO VALLEY	CITY		33.9424658	-117.2296717	RIVERSIDE COUNTY	"18,67,87,365"	"11,69,48,322"	"6,98,39,043"	"66,00,765"	"72,10,453"	"80,77,914"	"89,52,067"	"97,15,639"	"1,04,39,928"	"1,09,88,016"	"1,14,77,987"
CITY OF CAMPBELL	CITY		37.2871651	-121.9499568	SANTA CLARA COUNTY	"18,28,64,443"	"12,70,14,425"	"5,58,50,018"	"57,09,056"	"65,88,890"	"75,07,249"	"83,67,375"	"80,23,546"	"86,96,483"	"91,75,267"	"96,05,685"
CITY OF NOVATO	CITY		38.1074198	-122.5697032	MARIN COUNTY	"18,25,18,086"	"13,61,39,409"	"4,63,78,677"	"40,97,540"	"45,87,848"	"53,61,673"	"60,87,221"	"67,76,465"	"73,88,949"	"78,23,637"	"82,05,597"
RIVERSIDE COUNTY FLOOD CONTROL AND WATER CONSERVATION DISTRICT	SPECIAL DISTRICT/AUTHORITY	FLOOD CONTROL DISTRICT	0	0	RIVERSIDE COUNTY	"18,18,49,465"	"11,62,11,925"	"6,56,37,540"	"43,57,173"	"52,84,064"	"63,07,525"	"72,85,703"	"81,46,375"	"88,88,076"	"93,75,868"	"98,07,814"
CITY OF ENCINITAS	CITY		33.0369867	-117.2919818	SAN DIEGO COUNTY	"17,95,26,973"	"13,15,91,614"	"4,79,35,359"	"50,61,572"	"57,27,412"	"65,00,648"	"73,71,170"	"81,12,599"	"87,57,734"	"92,53,354"	"96,89,057"
CITY OF BRENTWOOD	CITY		37.931868	-121.6957863	CONTRA COSTA COUNTY	"17,90,64,906"	"12,92,23,398"	"4,98,41,508"	"57,38,764"	"65,05,758"	"75,23,384"	"86,21,017"	"94,73,340"	"1,02,21,054"	"1,07,85,286"	"1,12,85,964"
INLAND EMPIRE UTILITIES AGENCY	SPECIAL DISTRICT/AUTHORITY		33.9674625	-117.6765448	0	"17,69,82,736"	"12,95,78,252"	"4,74,04,484"	"48,04,861"	"53,93,037"	"60,10,011"	"67,67,528"	"74,07,904"	"81,03,901"	"85,77,598"	"89,93,076"
CITY OF HUNTINGTON PARK	CITY		33.9816812	-118.2250725	LOS ANGELES COUNTY	"17,64,71,385"	"12,58,93,093"	"5,05,78,292"	"41,27,651"	"47,81,224"	"56,30,544"	"63,82,265"	"71,11,397"	"75,31,408"	"79,72,781"	"83,62,170"
CITY OF BALDWIN PARK	CITY		34.0852868	-117.9608978	LOS ANGELES COUNTY	"17,62,76,868"	"12,45,18,784"	"5,17,58,084"	"44,91,165"	"53,05,542"	"61,54,780"	"69,67,451"	"77,05,910"	"83,62,582"	"88,32,334"	"92,47,339"
CITY OF PITTSBURG	CITY		38.0279762	-121.8846806	CONTRA COSTA COUNTY	"17,57,15,880"	"12,80,59,655"	"4,76,56,225"	"50,36,804"	"58,57,600"	"67,44,586"	"76,56,120"	"84,02,802"	"90,62,850"	"95,68,565"	"1,00,17,656"
TOWN OF LOS GATOS	CITY		0	0	SANTA CLARA COUNTY	"17,45,10,068"	"12,26,89,995"	"5,18,20,073"	"47,50,268"	"53,43,695"	"61,49,513"	"68,96,717"	"75,89,863"	"82,11,330"	"86,60,087"	"90,62,106"
COUNTY OF MONO	COUNTY		37.9218608	-118.9528645	0	"17,25,09,752"	"12,00,82,919"	"5,24,26,833"	"54,72,449"	"59,65,959"	"67,71,722"	"75,50,155"	"82,41,109"	"88,49,309"	"93,19,917"	"97,40,018"
CITY OF EL CENTRO	CITY		32.792	-115.5630514	IMPERIAL COUNTY	"17,22,94,981"	"12,62,30,544"	"4,60,64,437"	"53,82,436"	"45,08,989"	"53,27,382"	"60,89,685"	"67,87,547"	"74,01,606"	"78,39,532"	"82,21,600"
CITY OF HANFORD	CITY		36.3274502	-119.6456844	KINGS COUNTY	"17,18,21,930"	"12,29,95,916"	"4,88,26,014"	"60,36,287"	"62,91,181"	"70,88,429"	"79,07,203"	"85,90,261"	"92,03,105"	"96,98,627"	"1,01,40,816"
CITY OF EL CERRITO	CITY		37.9161326	-122.310765	CONTRA COSTA COUNTY	"17,17,66,055"	"11,27,53,041"	"5,90,13,014"	"55,56,949"	"62,91,735"	"71,21,473"	"79,37,005"	"86,58,020"	"93,05,881"	"98,01,569"	"1,02,43,970"
"INLAND COUNTIES REGIONAL CENTER, INC."			34.075783	-117.2779008	0	"17,00,59,217"	"13,82,73,529"	"3,17,85,688"	"42,58,769"	"51,59,232"	"61,17,056"	"67,37,206"	"75,45,662"	"82,83,912"	"88,10,069"	"92,66,252"
COUNTY OF PLUMAS	COUNTY		39.9926832	-120.8039474	0	"16,77,30,618"	"11,74,26,500"	"5,03,04,118"	"46,36,106"	"52,75,011"	"60,59,639"	"67,64,808"	"74,10,900"	"78,04,204"	"82,27,483"	"86,03,803"
SANTA CRUZ METROPOLITAN TRANSIT DISTRICT	SPECIAL DISTRICT/AUTHORITY	TRANSPORTATION DISTRICT/AUTHORITY	0	0	0	"16,64,15,470"	"10,83,65,247"	"5,80,50,223"	"49,06,484"	"55,00,431"	"62,88,311"	"69,96,762"	"76,33,995"	"82,03,305"	"86,35,754"	"90,22,406"
CITY OF LA VERNE	CITY		34.1008426	-117.7678355	LOS ANGELES COUNTY	"16,48,17,606"	"11,55,46,772"	"4,92,70,834"	"45,15,191"	"51,57,893"	"59,53,080"	"67,11,437"	"73,92,404"	"79,94,014"	"84,40,441"	"88,35,761"
CITY OF SANTA CLARITA	CITY		34.3916641	-118.542586	LOS ANGELES COUNTY	"16,45,14,560"	"11,99,81,401"	"4,45,33,159"	"48,04,871"	"55,51,573"	"64,84,776"	"74,45,122"	"81,88,896"	"88,37,602"	"93,50,331"	"98,01,170"
CITY OF ROCKLIN	CITY		38.7907339	-121.2357828	PLACER COUNTY	"16,33,71,218"	"11,55,47,963"	"4,78,23,255"	"51,44,295"	"57,27,078"	"65,46,609"	"74,01,662"	"81,17,905"	"87,64,564"	"92,37,347"	"96,60,006"
CITY OF NORWALK	CITY		33.9022367	-118.081733	LOS ANGELES COUNTY	"16,26,96,124"	"11,19,04,612"	"5,07,91,512"	"42,96,577"	"50,23,659"	"58,32,248"	"65,76,980"	"72,28,089"	"78,15,302"	"82,50,681"	"86,35,291"
CITY OF CYPRESS	CITY		33.8169366	-118.0368507	ORANGE COUNTY	"16,07,44,391"	"11,69,43,810"	"4,38,00,581"	"38,01,508"	"45,46,742"	"53,18,502"	"60,10,956"	"66,58,894"	"72,27,501"	"76,41,144"	"80,05,890"
COUNTY OF MARIPOSA	COUNTY		37.4893626	-119.9679294	0	"16,06,95,791"	"11,06,56,406"	"5,00,39,385"	"57,27,169"	"65,06,979"	"69,18,555"	"77,78,278"	"84,97,800"	"91,32,523"	"96,03,123"	"1,00,26,599"
COUNTY OF LASSEN	COUNTY		40.5394389	-120.7120023	0	"16,06,02,236"	"11,70,14,926"	"4,35,87,310"	"42,46,809"	"48,28,864"	"56,15,447"	"58,67,623"	"65,15,995"	"70,75,548"	"74,82,647"	"78,38,758"
OMNITRANS			0	0	0	"15,99,42,282"	"13,54,22,664"	"2,45,19,618"	"40,71,971"	"46,39,205"	"53,53,048"	"62,23,785"	"69,08,949"	"75,24,747"	"79,67,290"	"83,55,688"
CITY OF SAN RAMON	CITY		37.7799273	-121.9780153	CONTRA COSTA COUNTY	"15,96,51,819"	"13,13,37,317"	"2,83,14,502"	"49,22,499"	"55,56,212"	"63,62,898"	"73,81,510"	"81,24,857"	"87,84,112"	"92,64,300"	"96,90,652"
CHINO VALLEY INDEPENDENT FIRE DISTRICT	SPECIAL DISTRICT/AUTHORITY		33.9979067	-117.7298341	0	"15,90,75,404"	"11,88,23,546"	"4,02,51,858"	"45,75,751"	"54,20,626"	"62,52,238"	"71,01,154"	"77,98,306"	"84,17,053"	"88,71,587"	"92,78,888"
CITY OF CLAREMONT	CITY		34.0966764	-117.7197785	LOS ANGELES COUNTY	"15,75,07,252"	"10,67,02,489"	"5,08,04,763"	"42,60,799"	"48,89,357"	"56,06,813"	"62,55,380"	"68,69,324"	"74,23,071"	"78,37,671"	"78,72,577"
CITY OF POWAY	CITY		32.9628232	-117.0358646	SAN DIEGO COUNTY	"15,66,09,204"	"10,99,52,110"	"4,66,57,094"	"40,56,814"	"46,66,576"	"54,23,264"	"61,09,349"	"67,34,853"	"72,97,319"	"77,04,507"	"80,63,783"
CITY OF CATHEDRAL CITY	CITY		33.7805388	-116.4668036	RIVERSIDE COUNTY	"15,59,22,593"	"12,00,64,102"	"3,58,58,491"	"35,20,708"	"42,58,530"	"49,77,789"	"57,32,337"	"63,76,956"	"69,46,595"	"73,20,791"	"76,75,917"
CITY OF HERMOSA BEACH	CITY		33.8622366	-118.3995194	LOS ANGELES COUNTY	"15,43,14,679"	"10,68,08,525"	"4,75,06,154"	"58,66,893"	"59,90,261"	"52,58,193"	"54,12,035"	"60,18,502"	"65,53,779"	"69,43,023"	"72,82,694"
SACRAMENTO CITY HOUSING AUTHORITY	SPECIAL DISTRICT/AUTHORITY		0	0	0	"15,32,34,561"	"10,94,33,934"	"4,38,00,627"	"32,57,929"	"38,22,565"	"44,74,134"	"50,15,283"	"55,93,011"	"61,03,022"	"64,50,352"	"67,56,043"
CITY OF PORTERVILLE	CITY		36.06523	-119.0167679	TULARE COUNTY	"15,25,25,765"	"10,30,62,412"	"4,94,63,353"	"46,63,556"	"53,94,897"	"61,26,297"	"68,78,651"	"75,20,760"	"80,93,675"	"85,34,270"	"89,26,723"
CITY OF PALMDALE	CITY		34.5794343	-118.1164613	LOS ANGELES COUNTY	"15,17,90,423"	"10,88,36,308"	"4,29,54,115"	"34,78,821"	"40,33,290"	"46,37,957"	"52,00,309"	"57,48,178"	"62,25,723"	"65,94,995"	"69,18,045"
CITY OF LANCASTER	CITY		34.6867846	-118.1541632	LOS ANGELES COUNTY	"15,13,53,186"	"9,85,82,761"	"5,27,70,425"	"51,34,856"	"56,91,939"	"65,04,905"	"73,45,379"	"80,34,790"	"86,44,884"	"91,07,740"	"95,21,442"
CENTRAL COUNTY FIRE DEPARTMENT			37.5908917	-122.3673616	CENTRAL COUNTY	"15,02,06,910"	"11,04,97,078"	"3,97,09,832"	"37,21,875"	"43,24,105"	"50,47,038"	"57,28,709"	"63,51,908"	"68,96,507"	"72,91,576"	"76,38,686"
CITY OF MILLBRAE	CITY		37.5985468	-122.3871942	SAN MATEO COUNTY	"14,95,00,624"	"10,28,12,572"	"4,66,88,052"	"36,89,919"	"44,35,409"	"49,34,512"	"53,72,738"	"58,61,401"	"62,84,568"	"65,85,974"	"68,27,933"
CITY OF EUREKA	CITY		40.8020712	-124.1636729	HUMBOLDT COUNTY	"14,93,78,603"	"9,58,85,897"	"5,34,92,706"	"47,25,014"	"51,84,730"	"58,85,648"	"65,29,722"	"71,37,952"	"75,74,251"	"79,72,268"	"76,80,056"
EL DORADO IRRIGATION DISTRICT	SPECIAL DISTRICT/AUTHORITY	IRRIGATION DISTRICT	38.7351457	-120.7879921	0	"14,82,34,205"	"8,91,12,882"	"5,91,21,323"	"55,21,633"	"60,57,813"	"67,56,778"	"74,51,641"	"80,37,221"	"85,60,827"	"89,93,522"	"93,83,368"
CITY OF MORGAN HILL	CITY		37.1305012	-121.6543901	SANTA CLARA COUNTY	"14,72,41,247"	"10,35,70,080"	"4,36,71,167"	"49,48,821"	"55,99,608"	"63,17,614"	"70,92,324"	"77,39,951"	"83,19,770"	"87,53,263"	"91,48,617"
SAN DIEGO ASSOCIATION OF GOVERNMENTS	ASSOCIATION OF GOVERNMENTS		0	0	0	"14,68,82,071"	"9,62,49,655"	"5,06,32,416"	"53,25,269"	"59,93,761"	"67,79,592"	"76,44,561"	"82,92,218"	"88,80,194"	"93,43,590"	"97,59,508"
NORTHERN CALIFORNIA POWER AGENCY	SPECIAL DISTRICT/AUTHORITY		0	0	0	"14,66,96,486"	"7,91,54,505"	"6,75,41,981"	"62,76,757"	"68,37,159"	"75,04,495"	"81,83,513"	"87,78,768"	"93,23,281"	"97,83,119"	"1,02,00,353"
CITY OF WEST HOLLYWOOD	CITY		34.0900091	-118.3617443	LOS ANGELES COUNTY	"14,49,69,914"	"9,94,87,612"	"4,54,82,302"	"49,98,768"	"55,54,101"	"62,47,546"	"70,23,134"	"76,61,798"	"82,61,181"	"87,13,367"	"91,15,438"
METROPOLITAN TRANSPORTATION COMMISSION	SPECIAL DISTRICT/AUTHORITY		37.7880121	-122.3915205	0	"14,36,94,570"	"10,72,27,476"	"3,64,67,094"	"45,94,202"	"54,19,522"	"61,53,260"	"69,37,434"	"75,26,427"	"80,64,539"	"85,03,866"	"88,95,501"
COUNTY OF DEL NORTE	COUNTY		41.7076287	-123.9659708	0	"14,35,46,065"	"9,84,71,370"	"4,50,74,695"	"42,01,704"	"48,01,475"	"55,20,015"	"62,02,141"	"67,98,139"	"73,12,224"	"77,09,262"	"80,62,520"
CITY OF SEASIDE	CITY		36.6149217	-121.822098	MONTEREY COUNTY	"14,19,68,730"	"10,13,99,253"	"4,05,69,477"	"36,41,647"	"42,17,712"	"49,03,237"	"55,52,150"	"61,36,573"	"66,53,519"	"70,30,820"	"73,64,731"
CITY OF SANTEE	CITY		32.8383828	-116.9739167	SAN DIEGO COUNTY	"13,62,91,915"	"9,75,45,457"	"3,87,46,458"	"34,54,262"	"39,39,613"	"45,75,893"	"51,73,230"	"57,25,825"	"62,15,490"	"65,70,880"	"68,84,252"
CITY OF PLEASANT HILL	CITY		37.9479786	-122.0607963	CONTRA COSTA COUNTY	"13,55,46,513"	"9,70,57,748"	"3,84,88,765"	"31,61,115"	"36,57,935"	"42,69,857"	"48,32,420"	"53,72,909"	"58,42,709"	"61,85,066"	"64,86,127"
COUNTY OF TRINITY	COUNTY		40.6329485	-123.0622553	0	"13,54,17,790"	"7,80,63,485"	"5,73,54,305"	"50,19,414"	"56,13,542"	"62,86,925"	"69,04,928"	"74,63,435"	"79,79,678"	"83,72,412"	"87,27,994"
NORTH COUNTY TRANSIT DISTRICT	SPECIAL DISTRICT/AUTHORITY	TRANSPORTATION DISTRICT/AUTHORITY	0	0	0	"13,54,05,635"	"9,69,84,446"	"3,84,21,189"	"25,76,228"	"31,18,106"	"37,27,424"	"41,44,995"	"46,04,285"	"50,08,603"	"52,93,981"	"55,45,451"
CITY OF MILL VALLEY	CITY		37.9060368	-122.5449763	MARIN COUNTY	"13,50,86,446"	"9,82,29,340"	"3,68,57,106"	"34,21,852"	"39,25,626"	"47,44,495"	"53,40,698"	"57,78,901"	"61,70,371"	"64,59,194"	"67,12,707"
CITY OF MADERA	CITY		36.9613356	-120.0607176	MADERA COUNTY	"13,43,83,021"	"9,03,38,938"	"4,40,44,083"	"42,03,553"	"48,57,408"	"55,42,074"	"62,11,363"	"68,05,595"	"73,38,115"	"77,22,288"	"74,54,277"
CITY OF UKIAH	CITY		39.1501709	-123.2077831	MENDOCINO COUNTY	"13,42,80,124"	"8,63,25,050"	"4,79,55,074"	"46,53,289"	"51,55,679"	"57,51,746"	"63,12,551"	"68,33,314"	"68,47,999"	"72,15,465"	"75,43,875"
CITY OF SAN PABLO	CITY		37.9621457	-122.3455263	CONTRA COSTA COUNTY	"13,41,25,514"	"9,54,98,393"	"3,86,27,121"	"36,46,463"	"41,42,332"	"47,91,002"	"54,18,911"	"59,74,978"	"64,67,934"	"68,31,243"	"71,52,469"
CITY OF PLACENTIA	CITY		33.8710729	-117.8627548	ORANGE COUNTY	"13,30,92,302"	"9,35,54,220"	"3,95,38,082"	"39,71,487"	"33,04,758"	"39,02,467"	"44,27,718"	"49,43,819"	"53,98,324"	"57,22,674"	"60,08,008"
INLAND EMPIRE HEALTH PLAN			34.0822358	-117.5689563	0	"13,27,76,808"	"11,56,30,772"	"1,71,46,036"	"80,11,412"	"96,01,844"	"1,04,57,867"	"1,18,54,507"	"1,24,17,112"	"1,30,03,205"	"1,36,13,101"	"1,42,47,124"
UNION SANITARY DISTRICT	SPECIAL DISTRICT/AUTHORITY		0	0	ALAMEDA COUNTY	"13,19,97,730"	"8,69,50,874"	"4,50,46,856"	"35,32,193"	"41,99,380"	"48,91,530"	"55,51,358"	"61,15,278"	"66,16,907"	"69,68,294"	"72,81,493"
