Agency	General Type	Granular Type	Latitude	Longitude	County	"June 30, 2016 Accrued Liability (AL)"	"June 30, 2016 Market Value of Assets (MVA)"	"June 30, 2016 Unfunded Accrued Liability (UAL)"	2017-18 Estimated Total Employer Contribution	2018-19 Estimated Total Employer Contribution	2019-20 Estimated Total Employer Contribution	2020-21 Estimated Total Employer Contribution	2021-22 Estimated Total Employer Contribution	2022-23 Estimated Total Employer Contribution	2023-24 Estimated Total Employer Contribution	2024-25 Estimated Total Employer Contribution
SACRAMENTO METROPOLITAN FIRE DISTRICT	SPECIAL DISTRICT/AUTHORITY		0	0	0	"1,11,71,80,784"	"72,89,02,300"	"38,82,78,484"	"3,12,93,678"	"3,55,02,213"	"4,05,37,707"	"4,52,58,524"	"4,98,03,859"	"5,37,42,592"	"5,67,29,654"	"5,93,75,892"
CITY OF FREMONT	CITY		37.5482697	-121.9885719	ALAMEDA COUNTY	"1,08,12,99,854"	"70,98,21,551"	"37,14,78,303"	"3,41,17,000"	"3,84,33,182"	"4,35,35,501"	"4,83,50,499"	"5,27,10,774"	"5,47,45,857"	"5,76,53,163"	"6,02,50,118"
CITY OF SUNNYVALE	CITY		37.36883	-122.0363496	SANTA CLARA COUNTY	"1,06,48,09,727"	"70,91,32,842"	"35,56,76,885"	"3,24,69,532"	"3,65,66,538"	"4,14,36,704"	"4,61,19,061"	"5,03,73,263"	"5,42,40,441"	"5,71,51,044"	"5,97,45,536"
CITY OF RICHMOND	CITY		37.9357576	-122.3477486	CONTRA COSTA COUNTY	"1,05,53,92,553"	"73,58,59,302"	"31,95,33,251"	"2,65,23,487"	"3,09,60,167"	"3,63,39,436"	"4,10,63,973"	"4,53,12,932"	"4,90,67,050"	"5,17,48,752"	"5,41,30,474"
CITY OF HAYWARD	CITY		37.6688205	-122.0807964	ALAMEDA COUNTY	"1,04,55,52,645"	"64,53,57,332"	"40,01,95,313"	"3,15,93,909"	"3,66,11,346"	"4,16,93,608"	"4,64,54,573"	"5,08,00,090"	"5,46,22,963"	"5,75,11,622"	"6,00,92,511"
COUNTY OF EL DORADO	COUNTY		38.7426376	-120.4357631	0	"99,63,32,148"	"65,00,73,689"	"34,62,58,459"	"3,05,33,664"	"3,51,10,135"	"4,01,08,442"	"4,51,05,838"	"4,94,11,743"	"5,31,46,576"	"5,52,94,813"	"5,77,74,947"
CITY OF SANTA BARBARA	CITY		34.4208305	-119.6981901	SANTA BARBARA COUNTY	"96,51,08,434"	"64,50,59,066"	"32,00,49,368"	"3,01,21,102"	"3,34,20,138"	"3,79,33,929"	"4,21,62,484"	"4,60,58,151"	"4,96,09,529"	"5,22,77,107"	"5,46,52,887"
CITY OF MODESTO	CITY		37.6390972	-120.9968782	STANISLAUS COUNTY	"96,21,04,836"	"66,02,93,393"	"30,18,11,443"	"2,33,07,942"	"2,70,26,253"	"3,14,92,040"	"3,55,00,740"	"3,92,36,433"	"4,25,94,096"	"4,50,10,058"	"4,71,38,660"
CITY OF CHULA VISTA	CITY		32.6400541	-117.0841955	SAN DIEGO COUNTY	"96,04,50,278"	"63,88,50,879"	"32,15,99,399"	"2,86,90,990"	"3,25,46,538"	"3,72,82,179"	"4,18,86,322"	"4,58,40,901"	"4,94,27,258"	"5,21,37,836"	"5,45,42,091"
CITY OF OXNARD	CITY		34.1975048	-119.1770516	VENTURA COUNTY	"91,34,39,348"	"64,47,08,827"	"26,87,30,521"	"2,78,29,273"	"3,07,70,012"	"3,53,46,619"	"3,90,71,486"	"4,18,99,021"	"4,48,52,031"	"4,75,03,952"	"4,97,35,231"
LOS ANGELES COUNTY OFFICE OF EDUCATION			33.916	-118.1286556	LOS ANGELES COUNTY	"91,30,26,070"	"67,33,10,538"	"23,97,15,532"	"2,19,46,634"	"2,51,73,496"	"2,94,66,831"	"3,31,24,171"	"3,64,89,906"	"3,95,23,243"	"4,17,59,530"	"4,37,32,126"
CITY OF ONTARIO	CITY		34.0633443	-117.6508876	SAN BERNARDINO COUNTY	"88,78,86,558"	"62,68,11,483"	"26,10,75,075"	"2,45,06,277"	"2,81,73,837"	"3,23,01,427"	"3,67,35,798"	"4,05,50,032"	"4,39,10,403"	"4,63,52,335"	"4,74,72,265"
CITY OF NEWPORT BEACH	CITY		33.6188829	-117.9298493	ORANGE COUNTY	"88,74,81,877"	"56,60,16,065"	"32,14,65,812"	"3,44,02,879"	"3,55,53,048"	"3,74,54,499"	"4,03,04,908"	"4,38,16,506"	"4,70,58,921"	"4,95,23,478"	"5,17,30,513"
CITY OF ROSEVILLE	CITY		38.7521235	-121.2880059	PLACER COUNTY	"87,22,64,275"	"54,89,97,286"	"32,32,66,989"	"3,11,16,130"	"3,50,86,638"	"3,93,36,409"	"4,38,52,775"	"4,76,54,578"	"5,10,99,056"	"5,38,14,707"	"5,62,44,048"
COUNTY OF HUMBOLDT	COUNTY		40.7450055	-123.8695086	0	"86,79,36,649"	"58,71,24,413"	"28,08,12,236"	"2,91,50,079"	"3,22,26,388"	"3,62,38,396"	"4,03,17,485"	"4,37,83,160"	"4,69,54,715"	"4,93,90,566"	"5,15,78,143"
COUNTY OF NAPA	COUNTY		38.5024689	-122.2653887	0	"86,38,82,877"	"62,02,62,447"	"24,36,20,430"	"2,53,29,555"	"2,89,01,619"	"3,28,76,406"	"3,68,37,549"	"4,02,77,733"	"4,34,39,523"	"4,57,84,530"	"4,49,22,079"
CITY OF OCEANSIDE	CITY		33.1958696	-117.3794834	SAN DIEGO COUNTY	"85,25,57,290"	"61,45,57,645"	"23,79,99,645"	"2,31,53,257"	"2,63,00,819"	"3,00,81,231"	"3,37,11,526"	"3,69,90,382"	"4,00,13,594"	"4,22,67,532"	"4,42,57,577"
COUNTY OF YOLO	COUNTY		38.7646021	-121.9017954	0	"85,20,39,483"	"55,44,50,822"	"29,75,88,661"	"2,69,38,243"	"3,08,72,049"	"3,51,13,151"	"3,93,77,050"	"4,30,66,631"	"4,63,45,160"	"4,88,02,025"	"5,09,99,626"
COUNTY OF BUTTE	COUNTY		39.6253952	-121.5370003	0	"83,56,07,508"	"60,01,04,364"	"23,55,03,144"	"2,20,11,836"	"2,55,54,148"	"2,97,36,414"	"3,39,06,674"	"3,73,92,904"	"4,04,96,001"	"4,27,58,381"	"4,47,61,473"
COUNTY OF SHASTA	COUNTY		40.7908864	-121.8474493	0	"81,98,85,087"	"58,14,66,788"	"23,84,18,299"	"2,27,02,453"	"2,61,65,680"	"3,00,62,341"	"3,36,97,400"	"3,70,18,822"	"3,88,52,347"	"4,08,15,337"	"4,27,03,167"
CITY OF ORANGE	CITY		33.7879139	-117.8531007	ORANGE COUNTY	"80,71,95,209"	"54,97,64,173"	"25,74,31,036"	"2,15,50,133"	"2,42,67,108"	"2,77,78,412"	"3,10,94,105"	"3,42,06,838"	"3,69,65,284"	"3,90,45,732"	"4,08,82,484"
CITY OF BEVERLY HILLS	CITY		34.0736204	-118.4003563	LOS ANGELES COUNTY	"80,10,45,119"	"54,22,75,301"	"25,87,69,818"	"2,32,40,826"	"2,66,18,659"	"3,03,13,224"	"3,38,54,910"	"3,69,63,707"	"3,98,21,898"	"4,19,83,825"	"4,39,05,840"
CITY OF INGLEWOOD	CITY		33.9616801	-118.3531311	LOS ANGELES COUNTY	"78,30,04,684"	"54,00,58,001"	"24,29,46,683"	"1,79,14,463"	"2,11,16,270"	"2,48,98,063"	"2,79,55,989"	"3,09,26,828"	"3,34,31,433"	"3,53,06,036"	"3,69,59,877"
CITY OF GARDEN GROVE	CITY		33.7742692	-117.9379952	ORANGE COUNTY	"77,29,02,287"	"49,93,06,603"	"27,35,95,684"	"2,24,55,579"	"2,56,28,788"	"2,93,39,981"	"3,27,50,662"	"3,58,99,181"	"3,86,75,377"	"4,07,89,538"	"4,26,65,964"
CITY OF ESCONDIDO	CITY		33.1192068	-117.086421	SAN DIEGO COUNTY	"74,33,98,457"	"49,90,56,573"	"24,43,41,884"	"2,25,64,995"	"2,55,97,491"	"2,92,14,161"	"3,28,02,883"	"3,59,85,329"	"3,87,88,049"	"4,08,56,351"	"4,09,75,551"
SANTA CLARA VALLEY WATER DISTRICT	SPECIAL DISTRICT/AUTHORITY	WATER DISTRICT	0	0	0	"73,07,20,753"	"50,72,18,222"	"22,35,02,531"	"1,99,64,771"	"2,26,15,812"	"2,58,40,488"	"2,90,38,438"	"3,19,31,881"	"3,45,58,208"	"3,64,91,714"	"3,82,00,705"
CITY OF COSTA MESA	CITY		33.6412156	-117.9188221	ORANGE COUNTY	"72,61,77,316"	"43,67,36,548"	"28,94,40,768"	"2,31,61,482"	"2,58,20,094"	"2,92,37,319"	"3,23,39,396"	"3,52,67,451"	"3,79,11,528"	"3,99,27,416"	"4,17,26,477"
CITY OF VALLEJO	CITY		38.1040864	-122.2566367	SOLANO COUNTY	"72,26,37,197"	"43,27,24,631"	"28,99,12,566"	"2,27,31,702"	"2,57,64,473"	"2,90,13,307"	"3,18,31,472"	"3,45,32,326"	"3,69,50,396"	"3,88,66,928"	"4,05,85,176"
CITY OF FULLERTON	CITY		33.8703645	-117.9242123	ORANGE COUNTY	"72,23,65,498"	"48,83,37,223"	"23,40,28,275"	"1,76,58,721"	"2,05,30,228"	"2,38,10,361"	"2,66,64,631"	"2,94,57,440"	"3,19,64,983"	"3,37,69,493"	"3,53,61,208"
CITY OF MOUNTAIN VIEW	CITY		37.3860517	-122.0838511	SANTA CLARA COUNTY	"70,05,67,726"	"47,20,21,108"	"22,85,46,618"	"2,11,23,649"	"2,38,06,444"	"2,70,35,127"	"3,01,49,140"	"3,29,00,394"	"3,54,28,436"	"3,73,36,559"	"3,90,36,065"
CITY OF CORONA	CITY		33.8752935	-117.5664384	RIVERSIDE COUNTY	"69,94,13,557"	"44,58,90,563"	"25,35,22,994"	"2,38,43,804"	"2,65,16,615"	"2,98,01,784"	"3,30,81,582"	"3,59,84,942"	"3,86,56,050"	"4,07,25,900"	"4,08,28,792"
CITY OF REDDING	CITY		40.5865396	-122.3916754	SHASTA COUNTY	"68,24,45,905"	"43,29,26,036"	"24,95,19,869"	"2,05,41,021"	"2,32,15,170"	"2,62,95,597"	"2,92,35,813"	"3,19,54,497"	"3,44,21,932"	"3,62,72,380"	"3,79,20,112"
CITY OF ALAMEDA	CITY		37.7652065	-122.2416355	ALAMEDA COUNTY	"67,41,05,716"	"42,39,72,440"	"25,01,33,276"	"1,88,41,871"	"2,20,09,981"	"2,53,38,813"	"2,83,88,545"	"3,12,15,671"	"3,36,78,021"	"3,54,74,842"	"3,70,77,387"
PUBLIC TRANSPORTATION SERVICES CORPORATION			0	0	0	"67,11,38,377"	"52,25,47,168"	"14,85,91,209"	"1,96,60,789"	"2,39,66,310"	"2,78,82,427"	"3,25,27,284"	"3,57,70,133"	"3,85,88,917"	"4,06,74,174"	"4,25,36,459"
CITY OF REDWOOD CITY	CITY		37.4852152	-122.2363548	SAN MATEO COUNTY	"64,97,05,318"	"41,09,30,907"	"23,87,74,411"	"2,12,45,763"	"2,43,39,958"	"2,77,00,422"	"3,09,08,329"	"3,37,82,149"	"3,63,55,344"	"3,82,53,224"	"3,99,55,111"
CITY OF CULVER CITY	CITY		34.0211224	-118.3964665	LOS ANGELES COUNTY	"62,78,68,882"	"40,13,66,359"	"22,65,02,523"	"1,81,01,497"	"2,07,93,203"	"2,38,68,872"	"2,65,37,410"	"2,90,95,413"	"3,13,47,275"	"3,30,45,233"	"3,45,54,530"
CITY OF SAN BUENAVENTURA	CITY		34.274646	-119.2290316	VENTURA COUNTY	"61,45,82,404"	"40,48,91,227"	"20,96,91,177"	"1,74,08,903"	"1,97,20,714"	"2,24,43,345"	"2,49,55,961"	"2,73,69,220"	"2,95,75,986"	"3,11,93,486"	"3,26,27,950"
CITY OF POMONA	CITY		34.055103	-117.7499909	LOS ANGELES COUNTY	"61,45,76,705"	"42,87,96,680"	"18,57,80,025"	"1,47,45,562"	"1,72,89,778"	"2,01,39,525"	"2,26,20,048"	"2,49,83,890"	"2,70,31,506"	"2,85,45,102"	"2,98,81,885"
CITY OF CARLSBAD	CITY		33.1580933	-117.3505939	SAN DIEGO COUNTY	"61,08,20,871"	"42,54,88,805"	"18,53,32,066"	"1,97,06,281"	"2,05,04,044"	"2,34,70,566"	"2,58,82,286"	"2,82,16,395"	"3,02,89,107"	"3,20,06,710"	"3,04,56,501"
CITY OF SAN MATEO	CITY		37.5629917	-122.3255254	SAN MATEO COUNTY	"60,00,79,913"	"38,64,59,124"	"21,36,20,789"	"1,79,88,486"	"2,05,38,695"	"2,31,90,827"	"2,57,12,636"	"2,80,28,885"	"3,01,53,272"	"3,17,52,040"	"3,31,78,441"
CITY OF SANTA CRUZ	CITY		36.9741171	-122.0307963	SANTA CRUZ COUNTY	"59,83,10,460"	"43,26,33,624"	"16,56,76,836"	"1,60,47,702"	"1,86,31,778"	"2,14,06,756"	"2,41,35,474"	"2,65,44,481"	"2,87,16,897"	"3,03,05,102"	"3,17,14,390"
CITY OF DALY CITY	CITY		37.6879241	-122.4702079	SAN MATEO COUNTY	"59,35,18,159"	"43,48,28,641"	"15,86,89,518"	"1,34,64,152"	"1,59,61,270"	"1,88,35,591"	"2,13,99,693"	"2,36,97,653"	"2,58,16,903"	"2,72,85,660"	"2,85,79,150"
CITY OF PLEASANTON	CITY		37.6624312	-121.8746789	ALAMEDA COUNTY	"59,21,73,177"	"39,41,87,975"	"19,79,85,202"	"1,74,40,673"	"1,94,27,930"	"2,20,74,140"	"2,47,09,715"	"2,70,53,380"	"2,91,88,663"	"3,07,66,830"	"3,21,73,153"
CITY OF IRVINE	CITY		33.6845673	-117.8265049	ORANGE COUNTY	"59,05,52,472"	"43,37,59,505"	"15,67,92,967"	"2,35,82,493"	"2,61,59,874"	"2,89,19,386"	"3,23,01,989"	"2,66,11,599"	"2,88,01,887"	"3,04,80,233"	"3,19,55,030"
COUNTY OF KINGS	COUNTY		36.0988489	-119.8815203	0	"57,87,21,970"	"42,74,08,886"	"15,13,13,084"	"1,39,85,423"	"1,67,39,234"	"1,97,74,240"	"2,27,29,761"	"2,52,00,854"	"2,74,05,100"	"2,89,92,773"	"3,03,87,156"
SANTA CLARA COUNTY CENTRAL FIRE PROTECTION DISTRICT	SPECIAL DISTRICT/AUTHORITY	FIRE PROTECTTION DISTRICT	0	0	SANTA CLARA COUNTY	"57,34,41,146"	"39,08,47,796"	"18,25,93,350"	"1,65,71,964"	"1,87,79,816"	"2,13,32,926"	"2,37,11,654"	"2,58,99,433"	"2,79,09,576"	"2,88,64,534"	"3,02,03,064"
