Agency,General Type,Granular Type,Latitude,Longitude,County,"June 30, 2016 Accrued Liability (AL)","June 30, 2016 Market Value of Assets (MVA)","June 30, 2016 Unfunded Accrued Liability (UAL)",2017-18 Estimated Total Employer Contribution,2018-19 Estimated Total Employer Contribution,2019-20 Estimated Total Employer Contribution,2020-21 Estimated Total Employer Contribution,2021-22 Estimated Total Employer Contribution,2022-23 Estimated Total Employer Contribution,2023-24 Estimated Total Employer Contribution,2024-25 Estimated Total Employer Contribution,,Best 2019-20 Estimated Total Employer Contribution,Best 2020-21 Estimated Total Employer Contribution,Best 2021-22 Estimated Total Employer Contribution,Best 2022-23 Estimated Total Employer Contribution,,Worst 2019-20 Estimated Total Employer Contribution,Worst 2020-21 Estimated Total Employer Contribution,Worst 2021-22 Estimated Total Employer Contribution,Worst 2022-23 Estimated Total Employer Contribution
ANGIOLA WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,36.0980596,-119.5590286,0,"12,84,669","11,33,884","1,50,785","29,458","39,362","44,450","52,929","58,259","63,644","67,016","70,406",,"44,450","50,899","55,590","48,694",,"44,450","53,959","64,359","74,834"
ANTELOPE VALLEY MOSQUITO AND VECTOR CONTROL DISTRICT,SPECIAL DISTRICT/AUTHORITY,VECTOR CONTROL DISTRICT,34.65748,-118.118312,0,"20,76,619","15,28,205","5,48,414","70,720","81,362","91,990","1,03,468","1,12,292","1,19,208","1,26,117","1,31,061",,"91,990","1,00,448","1,07,971","1,10,845",,"91,990","1,05,468","1,19,392","1,35,348"
ANTELOPE VALLEY SCHOOLS TRANSPORTATION AGENCY,SPECIAL DISTRICT/AUTHORITY,TRANSPORTATION DISTRICT/AUTHORITY,34.6522307,-118.1426554,0,"4,10,68,531","3,11,65,225","99,03,306","10,35,043","12,47,573","14,60,949","16,80,041","18,63,422","20,27,565","21,39,491","22,38,226",,"14,60,949","16,32,041","17,59,834","18,23,605",,"14,60,949","17,31,041","20,15,422","23,32,565"
ANTELOPE VALLEY TRANSIT AUTHORITY,SPECIAL DISTRICT/AUTHORITY,TRANSPORTATION DISTRICT/AUTHORITY,34.6496515,-118.1403866,0,"53,30,682","42,53,044","10,77,638","2,41,620","2,94,942","3,30,104","3,77,448","4,07,029","4,33,370","4,54,279","4,73,364",,"3,30,104","3,71,348","4,01,171","4,25,874",,"3,30,104","3,84,648","4,27,529","4,75,370"
APPLE VALLEY FIRE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,FIRE PROTECTTION DISTRICT,34.5028952,-117.174864,0,"5,22,63,541","3,89,66,756","1,32,96,785","12,02,431","13,51,249","15,99,047","18,32,533","22,04,413","23,95,067","25,31,516","26,52,695",,"15,99,047","17,72,368","20,66,193","21,12,031",,"15,99,047","18,96,689","23,92,840","27,72,893"
APTOS/LA SELVA FIRE PROTECTION AGENCY,SPECIAL DISTRICT/AUTHORITY,,36.9861723,-121.9187516,0,"6,39,95,568","4,69,93,503","1,70,02,065","15,11,278","17,87,930","20,91,044","23,89,288","26,53,217","28,84,229","30,42,342","31,88,896",,"20,91,044","23,17,988","24,82,164","25,33,754",,"20,91,044","24,66,588","28,81,217","33,39,629"
ARBUCKLE-COLLEGE CITY FIRE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,FIRE PROTECTTION DISTRICT,39.0182416,-122.0584437,0,"17,75,180","12,31,966","5,43,214","74,507","84,238","94,668","1,04,861","1,13,357","1,00,898","1,06,485","1,11,119",,"94,668","1,03,861","1,10,158","94,669",,"94,668","1,06,861","1,19,357","1,12,898"
ARCADE CREEK RECREATION AND PARK DISTRICT,SPECIAL DISTRICT/AUTHORITY,PARK OR RECREATION DISTRICT,38.652751,-121.366039,0,"13,59,495","7,93,894","5,65,601","87,448","94,484","1,02,176","1,10,571","1,17,458","1,23,372","62,313","65,282",,"1,02,176","1,09,571","1,15,250","1,19,370",,"1,02,176","1,11,571","1,21,458","1,31,372"
ARCATA FIRE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,FIRE PROTECTTION DISTRICT,40.8685096,-124.0850654,0,"1,75,57,605","1,22,74,624","52,82,981","7,14,104","7,98,185","8,92,884","8,27,887","9,02,142","9,69,277","10,21,225","10,67,396",,"8,92,884","8,07,550","8,64,799","8,97,508",,"8,92,884","8,46,455","9,61,262","10,89,387"
AREA 12 AGENCY ON AGING,SPECIAL DISTRICT/AUTHORITY,,37.9698931,-120.3138045,0,"42,01,294","30,77,586","11,23,708","1,32,716","1,48,890","1,69,563","1,91,446","2,09,376","2,25,392","2,36,454","2,35,617",,"1,69,563","1,86,346","1,99,963","2,04,290",,"1,69,563","1,96,446","2,24,476","2,56,592"
ARMONA COMMUNITY SERVICES DISTRICT,SPECIAL DISTRICT/AUTHORITY,,36.3148211,-119.7090559,0,"3,00,548","1,95,693","1,04,855","14,860","18,670","19,000","19,000","19,000","20,000","20,000","2,000",,"19,000","18,000","18,000",0,,"19,000","19,000","21,000","22,000"
AROMAS WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,36.88882,-121.643501,0,"15,86,220","10,52,147","5,34,073","59,212","68,329","75,268","84,597","88,441","95,415","1,00,417","1,04,450",,"75,268","81,397","85,076","88,121",,"75,268","83,549","94,561","1,05,625"
ARROWBEAR PARK COUNTY WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,34.2106422,-117.0775187,0,"23,47,188","22,80,401","66,787","32,741","36,991","38,344","43,090","44,546","45,888","48,076","49,190",,"38,344","41,090","41,562","42,454",,"38,344","44,390","54,926","69,488"
ARROYO GRANDE DISTRICT CEMETERY,SPECIAL DISTRICT/AUTHORITY,,35.1225001,-120.5933795,0,"19,68,623","13,69,963","5,98,660","42,794","50,488","58,843","67,001","74,571","81,158","85,763","90,386",,"58,843","65,001","68,762","69,787",,"58,843","69,001","81,571","95,158"
