Agency,General Type,Granular Type,Latitude,Longitude,County,"June 30, 2016 Accrued Liability (AL)","June 30, 2016 Market Value of Assets (MVA)","June 30, 2016 Unfunded Accrued Liability (UAL)",2017-18 Estimated Total Employer Contribution,2018-19 Estimated Total Employer Contribution,2019-20 Estimated Total Employer Contribution,2020-21 Estimated Total Employer Contribution,2021-22 Estimated Total Employer Contribution,2022-23 Estimated Total Employer Contribution,2023-24 Estimated Total Employer Contribution,2024-25 Estimated Total Employer Contribution,,Best 2019-20 Estimated Total Employer Contribution,Best 2020-21 Estimated Total Employer Contribution,Best 2021-22 Estimated Total Employer Contribution,Best 2022-23 Estimated Total Employer Contribution,,Worst 2019-20 Estimated Total Employer Contribution,Worst 2020-21 Estimated Total Employer Contribution,Worst 2021-22 Estimated Total Employer Contribution,Worst 2022-23 Estimated Total Employer Contribution
FRESNO COUNTY LAW LIBRARY,,,36.7364192,-119.7891962,FRESNO COUNTY,"13,14,901","10,46,433","2,68,468","19,393","23,626","28,929","34,352","39,029","43,719","46,373","48,961",,"28,929","32,302","34,448","33,921",,"28,929","35,412","44,199","54,099"
FRESNO WESTSIDE MOSQUITO ABATEMENT DISTRICT,SPECIAL DISTRICT/AUTHORITY,VECTOR CONTROL DISTRICT,36.838414,-120.447747,0,"34,84,134","31,15,369","3,68,765","55,857","58,659","67,982","82,156","93,094","1,05,071","1,13,040","1,18,963",,"67,982","77,086","60,919","65,869",,"67,982","87,236","1,09,354","1,36,471"
FRUITRIDGE FIRE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,FIRE PROTECTTION DISTRICT,38.5100401,-121.4657414,0,"19,87,790","45,98,104","-26,10,314",0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0
FULLERTON CALIFORNIA STATE UNIVERSITY ASSOCIATED STUDENTS,,,33.8829226,-117.8869261,0,"2,20,14,149","1,47,37,416","72,76,733","8,55,699","9,36,222","10,43,393","11,57,135","12,53,491","13,41,777","14,10,108","14,71,295",,"10,43,393","11,33,235","12,01,810","12,35,458",,"10,43,393","11,81,835","13,26,891","14,89,577"
FULTON-EL CAMINO RECREATION AND PARK DISTRICT,SPECIAL DISTRICT/AUTHORITY,PARK OR RECREATION DISTRICT,38.605216,-121.4121363,0,"68,63,780","50,72,639","17,91,141","1,21,668","1,54,454","1,83,743","2,10,739","2,35,941","2,59,103","2,73,457","2,87,745",,"1,83,743","2,02,159","2,12,585","2,14,310",,"1,83,743","2,19,339","2,61,621","3,10,063"
GARDEN VALLEY FIRE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,FIRE PROTECTTION DISTRICT,38.8553412,-120.8566315,0,"25,27,665","18,75,739","6,51,926","1,30,869","1,57,909","1,73,970","1,95,855","2,08,233","2,21,220","2,13,030","2,21,966",,"1,73,970","1,92,625","2,06,345","2,16,878",,"1,73,970","1,99,095","2,17,769","2,40,355"
GEORGETOWN DIVIDE PUBLIC UTILITY DISTRICT,SPECIAL DISTRICT/AUTHORITY,,38.9108351,-120.8349906,0,"1,55,06,022","99,06,735","55,99,287","5,60,659","6,41,028","7,10,570","7,75,569","8,41,771","6,35,119","6,71,618","7,04,174",,"7,10,570","7,59,469","7,97,433","5,48,653",,"7,10,570","7,91,569","8,89,971","7,34,519"
GEORGETOWN DIVIDE RESOURCE CONSERVATION DISTRICT,SPECIAL DISTRICT/AUTHORITY,,38.7216807,-120.8285249,0,"88,884","78,055","10,829","6,430","7,181","7,912","9,155","9,731","10,284","10,744","11,213",,"7,912","9,025","9,807","9,657",,"7,912","9,285","10,131","11,084"
GEORGETOWN FIRE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,FIRE PROTECTTION DISTRICT,38.906763,-120.8391029,0,"83,30,223","57,56,980","25,73,243","3,16,604","3,04,187","3,48,555","3,90,748","3,98,956","4,30,569","4,53,210","4,74,914",,"3,48,555","3,82,088","3,80,033","3,91,271",,"3,48,555","4,01,498","4,27,706","4,87,469"
GILSIZER COUNTY DRAINAGE DISTRICT,SPECIAL DISTRICT/AUTHORITY,,39.0997996,-121.6197314,0,"8,87,814","8,09,633","78,181","14,560","15,554","18,096","22,189","25,184","28,493","30,018","31,558",,"18,096","20,989","17,983","19,723",,"18,096","23,589","28,984","36,493"
GLEN ELLEN FIRE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,FIRE PROTECTTION DISTRICT,38.3675854,-122.5238555,0,"21,01,816","15,78,203","5,23,613","62,754","78,248","86,461","96,997","1,04,952","1,11,451","1,17,994","1,22,584",,"86,461","93,497","98,458","90,816",,"86,461","98,543","1,13,062","1,28,651"
"GLENDALE COLLEGE, ASSOCIATED STUDENTS OF",,,34.1674129,-118.2286536,0,"25,91,268","19,69,631","6,21,637","29,609","38,745","49,147","56,965","66,174","74,389","79,611","84,839",,"49,147","53,965","57,663","55,397",,"49,147","60,965","76,174","94,389"
GLENDALE COMMUNITY COLLEGE DISTRICT,COMMUNITY COLLEGE DISTRICT,,34.1674129,-118.2286536,0,"66,82,326","46,75,701","20,06,625","2,73,406","3,08,244","3,44,680","2,96,204","3,23,920","3,49,778","3,68,781","3,85,935",,"3,44,680","2,88,204","3,10,952","3,21,383",,"3,44,680","3,03,204","3,46,920","3,94,778"
GLENN COUNTY MOSQUITO AND VECTOR CONTROL DISTRICT,SPECIAL DISTRICT/AUTHORITY,VECTOR CONTROL DISTRICT,39.521032,-122.215905,GLENN COUNTY,"13,10,835","10,50,678","2,60,157","17,751","23,233","28,831","34,336","39,736","44,148","46,573","49,010",,"28,831","32,336","35,447","15,734",,"28,831","36,336","44,736","54,148"
GOLD COAST TRANSIT,SPECIAL DISTRICT/AUTHORITY,TRANSPORTATION DISTRICT/AUTHORITY,34.2277112,-119.1482287,0,"4,77,97,604","3,56,24,670","1,21,72,934","16,68,709","19,20,393","21,75,523","24,54,185","26,69,621","28,70,210","30,18,986","31,51,986",,"21,75,523","23,96,185","25,67,946","26,59,679",,"21,75,523","25,14,185","28,52,621","32,40,210"
GOLD RIDGE FIRE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,FIRE PROTECTTION DISTRICT,38.3789917,-122.8361628,0,"46,83,703","35,43,817","11,39,886","2,15,502","2,37,885","2,67,085","3,01,620","3,25,294","3,47,056","3,61,591","3,77,167",,"2,67,085","2,96,120","3,18,869","3,32,528",,"2,67,085","3,07,120","3,42,794","3,81,056"
GOLD RIDGE RESOURCE CONSERVATION DISTRICT,SPECIAL DISTRICT/AUTHORITY,,38.4307059,-122.8840125,0,"5,32,590","4,36,784","95,806","42,715","60,336","65,440","73,902","78,065","82,323","85,510","81,656",,"65,440","72,832","79,147","73,764",,"65,440","74,982","80,295","86,723"
GOLDEN GATE BRIDGE HIGHWAY AND TRANSPORTATION DISTRICT,SPECIAL DISTRICT/AUTHORITY,TRANSPORTATION DISTRICT/AUTHORITY,37.9557063,-122.5043767,0,"39,96,87,031","27,25,29,658","12,71,57,373","1,16,35,992","1,34,95,995","1,54,22,210","1,70,74,616","1,85,69,015","1,99,38,315","2,09,77,665","2,19,09,215",,"1,54,22,210","1,66,57,616","1,75,47,657","1,78,60,738",,"1,54,22,210","1,75,12,616","1,98,78,015","2,25,57,315"
GOLDEN HILLS COMMUNITY SERVICES DISTRICT,SPECIAL DISTRICT/AUTHORITY,,35.1312708,-118.4778196,0,"23,40,034","15,69,342","7,70,692","1,49,145","1,52,328","1,64,912","1,78,391","91,987","99,647","1,05,534","1,10,238",,"1,64,912","1,76,361","87,005","90,068",,"1,64,912","1,81,421","99,117","1,15,847"
GOLDEN SIERRA JOB TRAINING AGENCY,SPECIAL DISTRICT/AUTHORITY,,38.7425199,-121.2686273,0,"1,58,56,273","1,03,54,791","55,01,482","5,43,530","5,46,459","6,17,662","6,79,421","5,78,607","6,31,896","6,68,559","7,02,093",,"6,17,662","6,62,241","5,34,665","5,40,370",,"6,17,662","6,96,511","6,29,907","7,34,496"
GOLETA SANITARY DISTRICT,SPECIAL DISTRICT/AUTHORITY,,34.4222216,-119.8333966,0,"1,56,11,280","1,15,42,615","40,68,665","5,14,656","5,48,948","6,27,660","6,25,337","6,91,216","7,49,336","7,91,765","8,29,463",,"6,27,660","6,07,307","6,50,181","6,70,112",,"6,27,660","6,44,377","7,48,316","8,64,536"
GOLETA WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,34.4368924,-119.7849448,0,"5,23,62,424","3,65,63,301","1,57,99,123","18,83,587","20,79,671","23,31,726","20,97,403","23,09,817","24,98,880","26,39,219","27,63,858",,"23,31,726","20,39,603","21,78,063","22,29,477",,"23,31,726","21,57,303","24,92,517","28,65,280"
GOLETA WEST SANITARY DISTRICT,SPECIAL DISTRICT/AUTHORITY,,34.4223585,-119.8521575,0,"48,08,840","37,61,873","10,46,967","81,384","1,05,505","1,28,037","1,50,706","1,68,981","1,85,531","1,97,157","2,06,861",,"1,28,037","1,44,346","1,54,331","1,57,210",,"1,28,037","1,57,006","1,87,291","2,23,831"
GRANADA SANITARY DISTRICT,SPECIAL DISTRICT/AUTHORITY,,37.4899864,-122.4557723,0,"4,61,427","2,85,627","1,75,800","25,224","32,641","34,253","38,422","39,782","42,255","43,743","45,245",,"34,253","37,712","38,611","41,137",,"34,253","39,222","41,512","44,965"
GREAT BASIN UNIFIED AIR POLLUTION CONTROL DISTRICT,SPECIAL DISTRICT/AUTHORITY,,37.3606826,-118.3939267,0,"1,57,54,677","1,16,89,765","40,64,912","3,66,094","4,45,249","5,18,553","5,93,418","6,58,538","7,15,899","7,55,847","7,92,669",,"5,18,553","5,75,398","6,17,220","6,30,192",,"5,18,553","6,13,438","7,16,608","8,32,029"
GREATER ANAHEIM SPECIAL EDUCATION LOCAL PLAN AREA,,,33.8459908,-118.0061202,0,"69,50,441","54,78,233","14,72,208","2,74,948","3,06,716","3,46,875","3,72,848","4,06,262","4,37,008","4,59,892","4,79,922",,"3,46,875","3,64,648","3,95,166","4,14,643",,"3,46,875","3,82,048","4,33,962","4,91,308"
GREATER LOS ANGELES COUNTY VECTOR CONTROL DISTRICT,SPECIAL DISTRICT/AUTHORITY,VECTOR CONTROL DISTRICT,33.9357384,-118.0649436,0,"2,37,75,499","1,76,24,621","61,50,878","7,78,595","8,95,145","10,23,325","11,59,883","12,66,543","13,63,761","14,36,251","13,96,133",,"10,23,325","11,31,683","12,12,465","12,59,122",,"10,23,325","11,89,083","13,54,143","15,40,061"
GREATER VALLEJO RECREATION DISTRICT,SPECIAL DISTRICT/AUTHORITY,PARK OR RECREATION DISTRICT,38.1029131,-122.2440704,0,"1,69,34,189","1,20,07,742","49,26,447","4,85,603","5,95,607","6,76,399","7,57,448","8,29,337","8,94,689","8,11,012","8,50,416",,"6,76,399","7,38,248","7,83,814","8,04,979",,"6,76,399","7,76,648","8,88,937","10,14,989"
GREEN VALLEY COUNTY WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,34.6186378,-118.4139118,0,"6,08,568","4,81,732","1,26,836","12,072","19,621","22,615","26,298","27,448","29,912","32,389","33,881",,"22,615","25,798","26,303","27,245",,"22,615","27,298","30,455","34,919"
GREENFIELD FIRE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,FIRE PROTECTTION DISTRICT,36.3247246,-121.2375687,0,"5,59,663","4,25,496","1,34,167","51,463","52,076","57,228","64,964","68,721","72,535","75,348","78,150",,"57,228","63,924","69,421","74,093",,"57,228","65,004","70,841","76,755"
GRIDLEY BIGGS CEMETERY DISTRICT,SPECIAL DISTRICT/AUTHORITY,CEMETERY DISTRICT,39.37909,-121.6892373,0,"21,75,480","15,03,519","6,71,961","57,691","58,822","68,694","75,460","82,855","90,240","95,638","1,01,047",,"68,694","72,700","76,537","76,683",,"68,694","79,280","91,605","1,05,970"
GROSSMONT HEALTHCARE DISTRICT,SPECIAL DISTRICT/AUTHORITY,,32.7816523,-117.0039458,0,"25,47,436","23,19,930","2,27,506","76,134","85,679","96,933","1,15,098","1,26,981","1,37,950","1,45,008","1,52,159",,"96,933","1,12,098","1,04,841","1,14,023",,"96,933","1,19,098","1,38,981","1,60,950"
GROSSMONT-CUYAMACA COMMUNITY COLLEGE DISTRICT AUXILIARY ORGANIZATION,COMMUNITY COLLEGE DISTRICT,,32.8166735,-117.0065725,0,"57,62,187","44,94,031","12,68,156","2,23,586","3,01,653","3,37,077","3,82,065","4,13,131","4,40,448","4,62,523","4,82,665",,"3,37,077","3,75,765","4,03,927","4,27,123",,"3,37,077","3,89,365","4,35,031","4,86,248"
GROVELAND COMMUNITY SERVICES DISTRICT,SPECIAL DISTRICT/AUTHORITY,,37.844581,-120.228983,0,"95,41,553","67,15,029","28,26,524","2,21,218","2,60,328","3,02,188","3,39,742","3,76,982","4,09,374","4,30,601","4,50,127",,"3,02,188","3,28,684","3,46,480","3,46,765",,"3,02,188","3,51,914","4,12,242","4,80,824"
GUALALA COMMUNITY SERVICES DISTRICT,SPECIAL DISTRICT/AUTHORITY,,38.7729588,-123.5335159,0,"6,34,750","4,95,770","1,38,980","27,951","21,572","24,949","28,727","31,496","34,051","35,622","37,211",,"24,949","28,397","29,644","31,256",,"24,949","29,747","33,518","39,072"
HACIENDA LA PUENTE UNIFIED SCHOOL DISTRICT,SCHOOL DISTRICT,,34.0048538,-117.9600466,0,"31,69,175","23,34,751","8,34,424","1,82,276","1,95,959","1,63,790","1,85,240","2,00,278","2,14,431","2,23,563","2,33,897",,"1,63,790","1,82,240","1,96,287","2,04,405",,"1,63,790","1,89,340","2,11,478","2,36,731"
HAMILTON BRANCH FIRE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,FIRE PROTECTTION DISTRICT,40.272261,-121.0911016,0,"5,48,748","3,65,354","1,83,394","21,031","15,767","16,000","16,000","17,000","18,000","18,000","19,000",,"16,000","15,000","15,000","13,000",,"16,000","17,000","19,000","23,000"
HAPPY CAMP SANITARY DISTRICT,SPECIAL DISTRICT/AUTHORITY,,41.7972226,-123.3752065,0,"1,93,405","1,30,984","62,421","7,358","9,210","9,200","9,400","9,600","9,900","10,000","10,000",,"9,200","9,100","8,700","2,000",,"9,200","9,700","11,000","12,000"
HAPPY HOMESTEAD CEMETERY DISTRICT,SPECIAL DISTRICT/AUTHORITY,CEMETERY DISTRICT,38.935576,-119.968691,0,"8,63,216","6,29,587","2,33,629","24,584","29,289","33,491","38,466","42,099","44,749","46,726","49,381",,"33,491","37,446","38,787","40,106",,"33,491","39,486","45,169","50,899"
HAPPY VALLEY FIRE DISTRICT,SPECIAL DISTRICT/AUTHORITY,,40.446332,-122.409522,0,"7,19,042","5,59,619","1,59,423","31,036","36,393","40,762","47,390","50,421","54,484","56,579","59,706",,"40,762","46,390","50,411","52,583",,"40,762","48,390","53,421","59,484"
HAYWARD AREA RECREATION AND PARK DISTRICT,SPECIAL DISTRICT/AUTHORITY,PARK OR RECREATION DISTRICT,37.6710653,-122.0766107,ALAMEDA COUNTY,"7,43,70,339","4,94,78,027","2,48,92,312","21,58,156","24,91,775","28,59,041","31,92,929","34,78,707","37,30,498","39,27,333","41,03,243",,"28,59,041","31,15,929","33,02,873","33,73,341",,"28,59,041","32,72,929","37,19,707","42,12,498"
HEALTH PLAN OF SAN JOAQUIN,,,37.8829801,-121.2813584,0,"2,94,03,217","2,27,44,792","66,58,425","17,01,815","20,12,041","18,80,589","21,25,496","22,88,501","24,41,976","25,60,965","26,69,514",,"18,80,589","20,89,496","22,53,964","23,84,359",,"18,80,589","21,63,496","24,02,501","26,68,976"
HEARTLAND COMMUNICATIONS FACILITY AUTHORITY,SPECIAL DISTRICT/AUTHORITY,,32.7930603,-116.9620431,0,"75,90,768","54,64,712","21,26,056","2,07,285","2,41,750","2,77,312","3,13,745","3,45,228","3,72,809","3,93,521","4,12,369",,"2,77,312","3,04,655","3,24,654","3,31,543",,"2,77,312","3,22,875","3,72,528","4,27,409"
HEBER PUBLIC UTILITY DISTRICT,SPECIAL DISTRICT/AUTHORITY,,32.7291121,-115.5344398,0,"32,33,495","25,22,847","7,10,648","1,09,624","1,19,567","1,32,633","1,51,533","1,66,449","1,79,347","1,88,428","1,96,486",,"1,32,633","1,47,513","1,59,645","1,64,901",,"1,32,633","1,56,533","1,79,449","2,04,547"
HELENDALE COMMUNITY SERVICES DISTRICT,SPECIAL DISTRICT/AUTHORITY,,34.7348855,-117.3295413,0,"17,52,602","14,14,184","3,38,418","1,12,597","1,26,313","1,39,732","1,59,689","1,69,440","1,79,637","1,87,883","1,95,223",,"1,39,732","1,57,649","1,71,002","1,53,111",,"1,39,732","1,61,739","1,76,590","1,93,887"
HELIX WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,32.762677,-117.0291,0,"12,41,40,194","8,16,23,290","4,25,16,904","30,77,362","35,40,264","41,41,148","46,85,439","51,86,382","56,30,614","59,48,172","62,29,097",,"41,41,148","45,60,439","48,99,165","50,37,150",,"41,41,148","48,15,439","55,75,382","64,07,614"
HENRY MILLER RECLAMATION DISTRICT NO. 2131,SPECIAL DISTRICT/AUTHORITY,,37.098596,-120.702445,0,"59,35,562","46,03,085","13,32,477","2,60,313","2,31,690","2,65,783","3,06,141","3,34,509","3,60,051","3,78,684","3,95,591",,"2,65,783","2,99,081","3,22,764","3,37,847",,"2,65,783","3,14,201","3,57,689","4,05,371"
HERITAGE RANCH COMMUNITY SERVICES DISTRICT,SPECIAL DISTRICT/AUTHORITY,,35.722391,-120.883739,0,"37,42,364","27,32,356","10,10,008","1,07,666","1,26,000","1,43,670","1,64,091","1,79,348","1,93,878","2,04,484","2,13,169",,"1,43,670","1,59,341","1,70,790","1,76,452",,"1,43,670","1,69,891","1,93,118","2,21,628"
HERLONG PUBLIC UTILITY DISTRICT,SPECIAL DISTRICT/AUTHORITY,,40.1430032,-120.1404709,0,"4,69,610","3,37,812","1,31,798","48,264","49,802","53,211","59,141","38,834","41,237","43,171","45,035",,"53,211","59,121","39,187","38,773",,"53,211","60,171","40,560","44,463"
HESPERIA FIRE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,FIRE PROTECTTION DISTRICT,34.456466,-117.3217079,0,"2,82,34,223","1,96,49,363","85,84,860","6,75,542","8,26,678","8,31,000","8,51,000","8,89,000","9,27,000","9,66,000","9,92,000",,"8,31,000","8,08,000","7,58,000","6,68,000",,"8,31,000","8,96,000","10,20,000","11,85,000"
HESPERIA UNIFIED SCHOOL DISTRICT,SCHOOL DISTRICT,,34.425201,-117.322301,0,"1,16,305","1,07,804","8,501",0,"81,397","84,984","92,720","96,226","99,814","1,03,685","1,07,343",,"84,984","92,520","99,670","1,06,262",,"84,984","92,920","96,726","1,00,914"
HESPERIA WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,34.4270688,-117.3168258,0,"1,93,79,952","1,42,90,715","50,89,237","5,34,880","6,02,032","6,97,117","8,71,320","9,54,750","10,30,756","10,86,071","11,35,706",,"6,97,117","8,48,240","9,08,887","9,35,924",,"6,97,117","8,95,440","10,25,950","11,73,256"
HIDDEN VALLEY LAKE COMMUNITY SERVICES DISTRICT,SPECIAL DISTRICT/AUTHORITY,,38.7975702,-122.5537519,0,"49,92,004","35,86,904","14,05,100","1,77,089","2,05,970","2,30,102","2,08,503","2,29,180","2,48,003","2,61,726","2,74,552",,"2,30,102","2,02,373","2,17,306","2,23,088",,"2,30,102","2,14,653","2,46,580","2,83,803"
HI-DESERT WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,34.116993,-116.4544374,0,"1,70,60,364","1,16,84,329","53,76,035","6,24,870","6,93,562","7,78,602","8,62,603","9,37,198","8,30,066","8,77,094","9,17,331",,"7,78,602","8,44,353","8,96,423","7,49,345",,"7,78,602","8,81,863","9,94,938","9,47,666"
HIGGINS AREA FIRE PROTECTION DISTRICT,SPECIAL DISTRICT/AUTHORITY,FIRE PROTECTTION DISTRICT,39.0432116,-121.093396,0,"46,26,568","34,62,074","11,64,494","1,77,721","1,97,011","2,22,180","2,53,480","2,73,472","2,86,803","3,01,175","3,15,493",,"2,22,180","2,46,670","2,65,245","2,69,482",,"2,22,180","2,59,280","2,91,442","3,21,053"
HILTON CREEK COMMUNITY SERVICES DISTRICT,SPECIAL DISTRICT/AUTHORITY,,37.9228391,-120.6368783,0,"8,89,704","6,80,626","2,09,078","17,159","21,140","24,935","29,389","32,761","36,144","38,538","39,944",,"24,935","28,389","30,631","30,936",,"24,935","30,389","36,761","43,144"
HOPLAND PUBLIC UTILITY DISTRICT,SPECIAL DISTRICT/AUTHORITY,,39.1258017,-123.2057449,0,"2,58,310","1,85,556","72,754","5,526","7,171","7,200","7,400","7,800","8,100","8,500","8,700",,"7,200","7,000","6,500","5,600",,"7,200","7,800","9,000","11,000"
HOUSING AUTHORITY OF THE CITY OF ALAMEDA,SPECIAL DISTRICT/AUTHORITY,,37.779937,-122.2754716,ALAMEDA COUNTY,"1,45,25,592","1,23,78,582","21,47,010","4,63,320","4,82,809","5,55,662","6,47,105","7,12,532","7,68,483","8,11,471","8,49,608",,"5,55,662","6,28,705","6,81,807","5,53,249",,"5,55,662","6,65,405","7,68,532","8,82,483"
HOUSING AUTHORITY OF THE CITY OF CALEXICO,SPECIAL DISTRICT/AUTHORITY,,32.6697987,-115.4836941,0,"51,50,812","36,97,862","14,52,950","1,92,219","2,13,733","2,39,140","2,64,291","1,80,550","1,97,876","2,10,273","2,21,741",,"2,39,140","2,59,291","1,67,683","1,71,507",,"2,39,140","2,71,391","1,98,575","2,34,900"
HOUSING AUTHORITY OF THE CITY OF EUREKA,SPECIAL DISTRICT/AUTHORITY,,40.7794975,-124.1785242,0,"51,24,246","38,48,333","12,75,913","1,96,837","2,09,252","2,37,351","2,69,549","2,92,713","3,13,925","3,29,321","3,43,845",,"2,37,351","2,63,549","2,83,055","2,93,307",,"2,37,351","2,75,649","3,11,813","3,53,125"
HOUSING AUTHORITY OF THE CITY OF LIVERMORE,SPECIAL DISTRICT/AUTHORITY,,37.6817915,-121.7559793,ALAMEDA COUNTY,"58,58,115","45,38,754","13,19,361","1,16,135","1,31,966","1,58,694","1,84,492","2,07,974","2,28,076","2,41,638","2,54,244",,"1,58,694","1,77,442","1,89,901","1,91,969",,"1,58,694","1,91,542","2,30,144","2,73,376"
HOUSING AUTHORITY OF THE CITY OF LOS ANGELES,SPECIAL DISTRICT/AUTHORITY,,34.1970351,-118.4480009,0,"48,18,91,109","31,58,14,627","16,60,76,482","1,33,45,799","1,53,97,159","1,73,02,583","1,93,75,530","2,12,08,266","2,28,36,424","2,40,65,167","2,51,50,662",,"1,73,02,583","1,88,81,530","1,99,78,978","2,04,14,088",,"1,73,02,583","1,98,92,530","2,27,52,266","2,59,19,424"
HOUSING AUTHORITY OF THE CITY OF MADERA,SPECIAL DISTRICT/AUTHORITY,,36.9620106,-120.0624313,0,"90,03,930","59,30,422","30,73,508","2,57,063","2,99,927","3,38,449","3,75,906","4,12,207","4,44,611","4,69,921","4,91,132",,"3,38,449","3,66,816","3,87,414","3,94,808",,"3,38,449","3,85,156","4,41,767","5,04,741"
HOUSING AUTHORITY OF THE CITY OF SAN BUENAVENTURA,SPECIAL DISTRICT/AUTHORITY,,34.28588,-119.150367,0,"2,53,23,474","1,80,24,381","72,99,093","6,97,121","7,95,907","9,10,003","10,24,904","11,29,882","12,22,550","12,91,718","13,50,900",,"9,10,003","9,96,404","10,61,610","10,66,929",,"9,10,003","10,55,404","12,20,482","14,03,950"
HOUSING AUTHORITY OF THE CITY OF SAN LUIS OBISPO,SPECIAL DISTRICT/AUTHORITY,,35.2725154,-120.6631041,0,"1,23,14,915","70,73,520","52,41,395","6,03,830","6,84,717","7,43,527","8,12,702","8,69,355","9,23,056","9,67,712","10,07,430",,"7,43,527","8,01,402","8,46,081","8,75,794",,"7,43,527","8,24,102","9,05,355","9,94,256"
HOUSING AUTHORITY OF THE CITY OF SOUTH SAN FRANCISCO,SPECIAL DISTRICT/AUTHORITY,,37.6501729,-122.427711,0,"13,40,752","10,78,434","2,62,318","32,028","38,537","44,967","52,687","58,638","63,617","67,625","70,664",,"44,967","51,687","55,863","38,201",,"44,967","54,687","64,638","74,617"
HOUSING AUTHORITY OF THE COUNTY OF BUTTE,SPECIAL DISTRICT/AUTHORITY,,39.7238037,-121.8011857,0,"1,18,69,070","86,33,236","32,35,834","3,88,730","4,35,456","4,96,722","5,58,312","5,11,445","5,55,728","5,87,258","6,15,992",,"4,96,722","5,44,292","4,81,598","4,97,990",,"4,96,722","5,72,342","5,54,505","6,41,858"
HOUSING AUTHORITY OF THE COUNTY OF SANTA CLARA,SPECIAL DISTRICT/AUTHORITY,,37.3360412,-121.9027945,0,"5,46,01,883","5,68,84,064","-22,82,181","7,93,035","9,15,616","9,94,091","11,68,429","12,51,072","13,38,724","14,29,416","15,25,178",,"9,94,091","11,21,429","12,42,958","13,57,837",,"9,94,091","12,62,429","15,33,072","19,04,724"
HOUSING AUTHORITY OF THE COUNTY OF SANTA CRUZ,SPECIAL DISTRICT/AUTHORITY,,36.9590619,-122.0586526,0,"2,97,26,661","2,24,92,099","72,34,562","7,66,034","8,37,429","9,70,458","11,11,944","12,33,180","13,41,088","14,13,013","14,80,559",,"9,70,458","10,76,744","11,46,943","11,49,079",,"9,70,458","11,48,044","13,44,780","15,66,288"
HUB CITIES CONSORTIUM,,,33.9795804,-118.2230025,0,"96,99,478","62,48,387","34,51,091","3,89,923","4,32,540","4,79,749","5,29,140","5,72,020","6,11,097","6,39,878","6,68,269",,"4,79,749","5,19,140","5,50,332","5,69,261",,"4,79,749","5,40,140","6,03,120","6,74,297"
HUMAN RIGHTS/FAIR HOUSING COMMISSION OF THE CITY AND COUNTY OF SACRAMENTO,SPECIAL DISTRICT/AUTHORITY,,38.5806131,-121.4911818,0,"30,28,929","21,85,045","8,43,884","63,993","72,180","84,600","92,620","82,660","91,600","94,000","97,000",,"84,600","88,200","67,000","60,000",,"84,600","97,640","97,720","1,19,810"
HUMBOLDT BAY FIRE JOINT POWERS AUTHORITY,SPECIAL DISTRICT/AUTHORITY,,40.7195153,-124.242601,0,"6,14,51,050","4,12,62,477","2,01,88,573","21,40,501","23,32,910","26,04,682","28,87,052","31,48,567","33,52,966","34,71,524","30,68,608",,"26,04,682","28,24,032","29,98,765","30,45,579",,"26,04,682","29,55,182","33,48,887","37,54,466"
HUMBOLDT BAY HARBOR RECREATION AND CONSERVATION DISTRICT,SPECIAL DISTRICT/AUTHORITY,PARK OR RECREATION DISTRICT,40.8083216,-124.162891,0,"40,99,837","31,84,302","9,15,535","1,09,829","1,16,756","1,36,394","1,56,781","1,74,391","1,90,077","1,99,850","2,09,673",,"1,36,394","1,51,681","1,63,900","1,67,591",,"1,36,394","1,62,781","1,90,491","2,21,277"
HUMBOLDT BAY MUNICIPAL WATER DISTRICT,SPECIAL DISTRICT/AUTHORITY,WATER DISTRICT,40.8006468,-124.1614718,0,"1,14,12,199","85,08,145","29,04,054","3,40,726","3,81,389","3,71,137","4,27,614","4,73,963","5,15,600","5,45,250","5,71,199",,"3,71,137","4,13,514","4,44,034","4,55,654",,"3,71,137","4,41,614","5,16,163","6,00,900"
HUMBOLDT COMMUNITY SERVICES DISTRICT,SPECIAL DISTRICT/AUTHORITY,,40.7537031,-124.1454686,0,"1,06,80,751","76,65,208","30,15,543","2,91,503","3,38,918","3,88,666","3,56,473","3,98,186","4,35,021","4,61,784","4,84,577",,"3,88,666","3,44,273","3,66,890","3,71,724",,"3,88,666","3,68,673","4,36,686","5,12,121"
